"Year","Quarter","Expenditure"
1950,1,429
1950,2,467
1950,3,409
1950,4,454
1951,1,444
1951,2,478
1951,3,444
1951,4,486
1952,1,424
1952,2,479
1952,3,432
1952,4,494
1953,1,467
1953,2,501
1953,3,433
1953,4,481
1954,1,465
1954,2,508
1954,3,440
1954,4,496
1955,1,484
1955,2,512
1955,3,454
1955,4,528
1956,1,460
1956,2,497
1956,3,428
1956,4,490
1957,1,453
1957,2,506
1957,3,471
1957,4,518
1958,1,483
1958,2,524
1958,3,480
1958,4,537
1959,1,499
1959,2,554
1959,3,511
1959,4,531
1960,1,493
1960,2,541
1960,3,504
1960,4,559
1961,1,530
1961,2,560
1961,3,512
1961,4,553
1962,1,517
1962,2,570
1962,3,517
1962,4,587
1963,1,520
1963,2,573
1963,3,543
1963,4,606
1964,1,541
1964,2,581
1964,3,549
1964,4,586
1965,1,540
1965,2,591
1965,3,533
1965,4,594
1966,1,544
1966,2,628
1966,3,545
1966,4,605
1967,1,557
1967,2,619
1967,3,576
1967,4,635
1968,1,600
1968,2,621
1968,3,558
1968,4,621
1969,1,582
1969,2,636
1969,3,581
1969,4,653
1970,1,602
1970,2,633
1970,3,577
1970,4,640
1971,1,622
1971,2,672
1971,3,613
1971,4,648
1972,1,628
1972,2,669
1972,3,606
1972,4,688
1973,1,629
1973,2,694
1973,3,618
1973,4,677
1974,1,633
1974,2,683
1974,3,644
1974,4,684
1975,1,662
1975,2,711
1975,3,649
1975,4,706
1976,1,673
1976,2,717
1976,3,671
1976,4,725
1977,1,678
1977,2,737
1977,3,683
1977,4,727
1978,1,700
1978,2,718
1978,3,670
1978,4,748
1979,1,712
1979,2,750
1979,3,695
1979,4,742
1980,1,734
1980,2,761
1980,3,711
1980,4,764
1981,1,743
1981,2,783
1981,3,724
1981,4,790
1982,1,748
1982,2,801
1982,3,746
1982,4,805
1983,1,778
1983,2,850
1983,3,775
1983,4,840
1984,1,770
1984,2,815
1984,3,764
1984,4,811
1985,1,807
1985,2,829
1985,3,765
1985,4,834
1986,1,819
1986,2,829
1986,3,794
1986,4,842
1987,1,827
1987,2,856
1987,3,818
1987,4,873
1988,1,832
1988,2,873
1988,3,813
1988,4,871
1989,1,827
1989,2,854
1989,3,804
1989,4,885
1990,1,826
1990,2,892
1990,3,846
1990,4,901
1991,1,877
1991,2,918
1991,3,863
1991,4,907
1992,1,903
1992,2,923
1992,3,856
1992,4,906
1993,1,889
1993,2,941
1993,3,874
1993,4,937
1994,1,904
1994,2,971
1994,3,933
1994,4,963
1995,1,920
1995,2,961
1995,3,931
1995,4,978
1996,1,962
1996,2,981
1996,3,940
1996,4,979
1997,1,956
1997,2,984
1997,3,958
1997,4,1034
1998,1,986
1998,2,1040
1998,3,979
1998,4,1066
1999,1,1029
1999,2,1059
1999,3,1008
1999,4,1060
2000,1,1036
2000,2,1061
2000,3,1014
2000,4,1077
2001,1,1028
2001,2,1078
2001,3,1038
2001,4,1090
2002,1,1063
2002,2,1107
2002,3,1053
2002,4,1113
2003,1,1080
2003,2,1129
2003,3,1068
2003,4,1122
2004,1,1066
2004,2,1145
2004,3,1089
2004,4,1148
2005,1,1142
2005,2,1151
2005,3,1122
2005,4,1176
2006,1,1125
2006,2,1182
2006,3,1115
2006,4,1166
2007,1,1155
2007,2,1188
2007,3,1130
2007,4,1185
2008,1,1164
2008,2,1211
2008,3,1161
2008,4,1231
2009,1,1201
2009,2,1257
2009,3,1195
2009,4,1263
2010,1,1231
2010,2,1263
2010,3,1216
2010,4,1289
2011,1,1229
2011,2,1276
2011,3,1237
2011,4,1269
2012,1,1233
2012,2,1285
2012,3,1234
2012,4,1307
2013,1,1281
2013,2,1317
2013,3,1262
2013,4,1338
2014,1,1320
2014,2,1367
2014,3,1308
2014,4,1335
2015,1,1334
2015,2,1376
2015,3,1334
2015,4,1393
2016,1,1375
2016,2,1409
2016,3,1341
2016,4,1379
2017,1,1327
2017,2,1405
2017,3,1360
2017,4,1418
2018,1,1395
2018,2,1448
2018,3,1401
2018,4,1452
2019,1,1417
2019,2,1457
2019,3,1391
2019,4,1456
2020,1,1423
2020,2,1474
2020,3,1427
2020,4,1500
